BridgeFailureLikelihood,LRPName,Latitude,Longitude,NumberOfABridges,NumberOfBBridges,NumberOfCBridges,NumberOfDBridges,TotalEconomicVulnerability,TotalSocialVulnerability,TotalTraffic,TrafficEconomicVulnerability,TrafficSocialVulnerability,chainage,road
0.999996673,LRP031a,23.55919103,90.65574757,1,0,0,0,44079.85335,181088.0642,225168.6667,44080,181088.6667,30.908,N1
0.999996673,LRP094a,23.41193242,91.19390298,1,0,0,0,30679.89793,68393.27247,99073.5,30680,68393.5,93.6,N1
0.999996673,LRP135b,23.09735125,91.34549563,1,0,0,0,21757.42762,28593.57154,50351.16667,21757.5,28593.66667,134.426,N1
0.999996673,LRP185a,22.76306269,91.58045388,0,1,0,0,23638.25469,45233.51618,66639.5,23638.33333,45233.66667,183.296,N1
0.999996673,LRP214a,22.53903002,91.69654527,1,0,0,0,24969.0836,37936.37379,62905.66667,24969.16667,37936.5,211.433,N1
0.999996673,LRP250a,22.30353655,91.90442272,1,0,0,0,24969.0836,43003.85693,62905.66667,24969.16667,43004,254.333,N1
0.999996673,LRP291d,22.06375672,92.10710611,1,0,0,0,8289.972421,49596.335,57194,8290,49596.5,295.295,N1
0.999996673,LRP316a,21.86283514,92.05948487,0,1,0,0,15172.44952,56386.81241,71559.5,15172.5,56387,320.189,N1
0.999996673,LRP352a,21.56232017,92.06981393,1,0,0,0,15172.44952,56386.81241,71559.5,15172.5,56387,356.261,N1
0.999996673,LRP376a,21.4297884,92.03959457,1,0,0,0,3634.987907,20041.93332,23677,3635,20042,379.504,N1
0.999996673,LRP387b,21.37438002,92.07486174,1,0,0,0,3634.987907,20041.93332,23677,3635,20042,390.595,N1
0.999996673,LRP403b,21.2538028,92.12659709,1,0,0,0,2797.490693,14824.95068,17622.5,2797.5,14825,406.791,N1
0.999996673,LRP420e,21.1380665,92.1651978,1,0,0,0,2797.490693,14824.95068,17622.5,2797.5,14825,424.271,N1
0.999996673,LRP429f,21.08224195,92.21660122,0,1,0,0,2797.490693,14824.95068,17622.5,2797.5,14825,433.441,N1
0.999996673,LRP445b,20.959945,92.25371874,0,0,1,0,2797.490693,14824.95068,17622.5,2797.5,14825,449.101,N1
0.999996673,LRP456c,20.88098522,92.2977774,1,0,0,0,2797.490693,14824.95068,17622.5,2797.5,14825,460.113,N1
0.999999931,LRPSc,23.48658234,91.11341752,1,0,0,0,10976.66591,24803.33161,35780,10976.66667,24803.33333,34.515,N102
0.999999931,LRP067a,23.92561806,91.11923386,1,0,0,0,13833.33237,46259.33013,60092.66667,13833.33333,46259.33333,67.164,N102
0.999999931,LRP082a,24.04268823,91.11407994,1,0,0,0,10374.99928,34694.4976,45069.5,10375,34694.5,81.779,N102
1,LRPSb,23.00930227,91.39551187,1,0,0,0,8222.5,41944,50166.5,8222.5,41944,48.939,N104
0.999933539,LRPSa,23.6906083,90.54671748,0,0,1,0,28205.62529,20133.6618,44040,28207.5,20135,39.716,N105
0.999933539,LRP043a,23.95549391,90.40180664,1,0,0,0,23860.91406,11075.76384,34939,23862.5,11076.5,42.318,N105
1,LRPSc,22.40043963,91.81937062,0,0,1,0,15222.5,47447.5,62670,15222.5,47447.5,25.356,N106
1,LRP045a,22.5836623,92.05517824,1,0,0,0,2182.5,9919.499999,12102,2182.5,9919.5,43.107,N106
1,LRP058a,22.64481554,92.1296146,0,0,1,0,2182.5,9919.499999,12102,2182.5,9919.5,55.929,N106
1,LRPSc,22.39164544,91.89338436,1,0,0,0,2877.5,9572.5,12450,2877.5,9572.5,10.11,N107
0.999989486,LRPSa,22.10374273,92.08237838,1,0,0,0,1224.98712,12099.37278,13324.5,1225,12099.5,20.717,N108
0.999989486,LRP021e,22.18856734,92.21428918,0,0,1,0,1224.98712,12099.37278,13324.5,1225,12099.5,21.689,N108
1,LRPsd,21.42458683,92.01466569,1,0,0,0,2295,22523.5,24818.5,2295,22523.5,7.013,N110
0.999999298,LRP043a,23.97813304,90.73147587,0,1,0,0,19438.31969,89791.60366,109230,19438.33333,89791.66667,42.51,N2
0.999999298,LRP069d,24.05694601,90.97026157,0,1,0,0,15364.98922,73619.44834,85299.5,15365,73619.5,69.279,N2
0.999999298,LRP096a,24.04307727,91.20053827,1,0,0,0,15364.98922,59771.45806,75136.5,15365,59771.5,95.774,N2
0.999999298,LRP122b,24.19576578,91.35070171,0,1,0,0,14042.49015,57598.95958,71641.5,14042.5,57599,121.686,N2
0.999999298,LRP138b,24.27418305,91.44620225,0,1,0,0,13509.99052,38916.97269,52427,13510,38917,137.784,N2
0.999999298,LRP160a,24.40078857,91.56379761,1,0,0,0,24194.98302,59995.4579,84190.5,24195,59995.5,159.377,N2
0.999999298,LRP170c,24.48856011,91.5789599,0,0,1,0,9167.493567,33345.4766,42513,9167.5,33345.5,169.381,N2
0.999999298,LRP179a,24.55990366,91.60332668,0,0,1,0,9167.493567,33345.4766,42513,9167.5,33345.5,178.144,N2
0.999999298,LRP203a,24.70970242,91.73803648,1,0,0,0,9167.493567,33558.47645,42513,9167.5,33558.5,202.412,N2
0.999999298,LRP231d,24.89521275,91.88764423,0,1,0,0,11519.99192,50071.46486,58324,11520,50071.5,230.925,N2
0.999999298,LRP268a,25.10815331,92.11875414,1,0,0,0,11519.99192,13783.99033,24879,11520,13784,267.009,N2
0.999999298,LRP285c,25.17104933,92.01872646,1,0,0,0,11094.99221,13783.99033,24879,11095,13784,284.64,N2
1,LRPSb,24.14835132,91.35138857,0,0,1,0,1806.666667,6534.666667,8341.333333,1806.666667,6534.666667,34.3,N204
1,LRPSa,24.86790996,91.85719078,1,0,0,0,1355,4901,6256,1355,4901,2.142,N205
1,LRPSb,24.89143111,91.87100647,1,0,0,0,782.5,9238.5,10021,782.5,9238.5,0.928,N206
0.999999956,LRPSb,24.29756531,91.51365151,0,1,0,0,4169.999817,18062.66587,22232.66667,4170,18062.66667,36.138,N207
0.999999956,LRP068a,24.62262803,91.67809144,1,0,0,0,3127.499863,13546.99941,16674.5,3127.5,13547,67.56,N207
0.999991128,LRPSb,24.47531601,91.7721055,1,0,0,0,3769.966554,23177.79438,26795.5,3770,23178,25.092,N208
0.999991128,LRP041c,24.74401403,91.92262492,1,0,0,0,3769.966554,11410.39877,15180.5,3770,11410.5,40.854,N208
0.999991128,LRP057b,24.87808333,91.87533333,1,0,0,0,8982.420312,33397.20371,42380,8982.5,33397.5,57.089,N208
1,LRPSa,24.87876908,91.8753103,1,0,0,0,5077.5,79432.5,84510,5077.5,79432.5,1.074,N209
1,LRPSa,23.81536413,90.40659336,0,1,0,0,14885,180297.375,195031.125,14885,180297.375,55.775,N3
1,LRP095b,24.60586039,90.3962497,0,1,0,0,13998.75,37429.25,51428,13998.75,37429.25,93.7,N3
1,LRP110a,24.7357287,90.40807186,0,0,1,0,3871.25,28917.25,32788.5,3871.25,28917.25,108.828,N3
1,LRP010a,23.90644934,90.32197364,0,0,1,0,35827.5,109181.5,145009,35827.5,109181.5,10.144,N302
1,LRPSd,24.7340033,90.41883473,1,0,0,0,7830,34059.5,41889.5,7830,34059.5,5.157,N309
0.999900308,LRP043a,24.14421703,90.02037548,1,0,0,0,50594.95558,174760.576,222948,50600,174778,43.447,N4
0.999900308,LRP079a,24.38894467,89.99536604,1,0,0,0,48165.19783,174760.576,222948,48170,174778,79.791,N4
0.999900308,LRP142a,24.89984639,89.9501339,1,0,0,0,10758.92731,41794.33302,52558.5,10760,41798.5,143.624,N4
1,LRP045a,24.76675943,90.39226027,0,0,1,0,4007.5,16285.5,20293,4007.5,16285.5,45.395,N401
1,LRPSa,24.0961941,90.1125833,0,0,1,0,782.5,8932.5,9715,782.5,8932.5,3.353,N403
1,LRPSa,24.34066667,89.92361111,1,0,0,0,26720,124465.5,151185.5,26720,124465.5,40.333,N405
0.999999875,LRPSa,23.78464887,90.33418326,0,1,0,0,28327.49646,151262.2311,179589.75,28327.5,151262.25,42.93,N5
0.999999875,LRP102a,23.89894303,89.63861941,1,0,0,0,19409.99758,75268.9906,94679,19410,75269,101.679,N5
0.999999875,LRP144a,24.22979547,89.57444611,0,1,0,0,9199.998851,20895.99739,30096,9200,20896,142.877,N5
0.999999875,LRP180b,24.52026697,89.51176817,0,1,0,0,9199.998851,20895.99739,30096,9200,20896,178.4,N5
0.999999875,LRP240b,24.98683528,89.3705652,0,1,0,0,20809.9974,53419.49333,74229.5,20810,53419.5,238.267,N5
